time,x_est,y_est,z_est,vx_est,vy_est,vz_est,clock_bias,clock_drift
2024-05-13 10:30:00,-3475479750677.1655,10212250537848.414,11528022620882.951,-27982668.191557936,82223473.76852848,92817354.2869147,120594310828.5688,970968.6784287571
2024-05-13 11:00:00,-3525848553421.9697,10360252790631.766,11695093858599.398,-27982668.191557936,82223473.76852848,92817354.2869147,122342054449.74057,970968.6784287571
2024-05-13 11:30:00,-3576217356166.774,10508255043415.117,11862165096315.846,-27982668.191557936,82223473.76852848,92817354.2869147,124089798070.91234,970968.6784287571
2024-05-13 12:00:00,-3626586158911.578,10656257296198.469,12029236334032.293,-27982668.191557936,82223473.76852848,92817354.2869147,125837541692.0841,970968.6784287571
2024-05-13 12:30:00,-3676954961656.3823,10804259548981.82,12196307571748.74,-27982668.191557936,82223473.76852848,92817354.2869147,127585285313.25587,970968.6784287571
2024-05-13 13:00:00,-3727323764401.1865,10952261801765.172,12363378809465.188,-27982668.191557936,82223473.76852848,92817354.2869147,129333028934.42764,970968.6784287571
2024-05-13 13:30:00,-3777692567145.9907,11100264054548.523,12530450047181.635,-27982668.191557936,82223473.76852848,92817354.2869147,131080772555.59941,970968.6784287571
2024-05-13 14:00:00,-3828061369890.795,11248266307331.875,12697521284898.082,-27982668.191557936,82223473.76852848,92817354.2869147,132828516176.77118,970968.6784287571
2024-05-13 14:30:00,-3878430172635.599,11396268560115.227,12864592522614.53,-27982668.191557936,82223473.76852848,92817354.2869147,134576259797.94295,970968.6784287571
2024-05-13 15:00:00,-3928798975380.4033,11544270812898.578,13031663760330.977,-27982668.191557936,82223473.76852848,92817354.2869147,136324003419.11472,970968.6784287571
2024-05-13 15:30:00,-3979167778125.2075,11692273065681.93,13198734998047.424,-27982668.191557936,82223473.76852848,92817354.2869147,138071747040.28647,970968.6784287571
2024-05-13 16:00:00,-4029536580870.0117,11840275318465.281,13365806235763.871,-27982668.191557936,82223473.76852848,92817354.2869147,139819490661.45822,970968.6784287571
2024-05-13 16:30:00,-4079905383614.816,11988277571248.633,13532877473480.318,-27982668.191557936,82223473.76852848,92817354.2869147,141567234282.62997,970968.6784287571
2024-05-13 17:00:00,-4130274186359.62,12136279824031.984,13699948711196.766,-27982668.191557936,82223473.76852848,92817354.2869147,143314977903.80173,970968.6784287571
2024-05-13 17:30:00,-4180642989104.4243,12284282076815.336,13867019948913.213,-27982668.191557936,82223473.76852848,92817354.2869147,145062721524.97348,970968.6784287571
2024-05-13 18:00:00,-4231011791849.2285,12432284329598.688,14034091186629.66,-27982668.191557936,82223473.76852848,92817354.2869147,146810465146.14523,970968.6784287571
2024-05-13 18:30:00,-4281380594594.0327,12580286582382.04,14201162424346.107,-27982668.191557936,82223473.76852848,92817354.2869147,148558208767.317,970968.6784287571
2024-05-13 19:00:00,-4331749397338.837,12728288835165.39,14368233662062.555,-27982668.191557936,82223473.76852848,92817354.2869147,150305952388.48874,970968.6784287571
2024-05-13 19:30:00,-4382118200083.641,12876291087948.742,14535304899779.002,-27982668.191557936,82223473.76852848,92817354.2869147,152053696009.6605,970968.6784287571
2024-05-13 20:00:00,-4432487002828.445,13024293340732.094,14702376137495.45,-27982668.191557936,82223473.76852848,92817354.2869147,153801439630.83224,970968.6784287571
2024-05-13 20:30:00,-4482855805573.25,13172295593515.445,14869447375211.896,-27982668.191557936,82223473.76852848,92817354.2869147,155549183252.004,970968.6784287571
2024-05-13 21:00:00,-4533224608318.055,13320297846298.797,15036518612928.344,-27982668.191557936,82223473.76852848,92817354.2869147,157296926873.17575,970968.6784287571
2024-05-13 21:30:00,-4583593411062.859,13468300099082.148,15203589850644.791,-27982668.191557936,82223473.76852848,92817354.2869147,159044670494.3475,970968.6784287571
2024-05-13 22:00:00,-4633962213807.664,13616302351865.5,15370661088361.238,-27982668.191557936,82223473.76852848,92817354.2869147,160792414115.51926,970968.6784287571
2024-05-13 22:30:00,-4684331016552.469,13764304604648.852,15537732326077.686,-27982668.191557936,82223473.76852848,92817354.2869147,162540157736.691,970968.6784287571
2024-05-13 23:00:00,-4734699819297.273,13912306857432.203,15704803563794.133,-27982668.191557936,82223473.76852848,92817354.2869147,164287901357.86276,970968.6784287571
2024-05-13 23:30:00,-4785068622042.078,14060309110215.555,15871874801510.58,-27982668.191557936,82223473.76852848,92817354.2869147,166035644979.03452,970968.6784287571
2024-05-14 00:00:00,-4835437424786.883,14208311362998.906,16038946039227.027,-27982668.191557936,82223473.76852848,92817354.2869147,167783388600.20627,970968.6784287571
2024-05-14 00:30:00,-4885806227531.6875,14356313615782.258,16206017276943.475,-27982668.191557936,82223473.76852848,92817354.2869147,169531132221.37802,970968.6784287571
2024-05-14 01:00:00,-4936175030276.492,14504315868565.61,16373088514659.922,-27982668.191557936,82223473.76852848,92817354.2869147,171278875842.54977,970968.6784287571
2024-05-14 01:30:00,-4986543833021.297,14652318121348.96,16540159752376.37,-27982668.191557936,82223473.76852848,92817354.2869147,173026619463.72153,970968.6784287571
2024-05-14 02:00:00,-5036912635766.102,14800320374132.312,16707230990092.816,-27982668.191557936,82223473.76852848,92817354.2869147,174774363084.89328,970968.6784287571
2024-05-14 02:30:00,-5087281438510.906,14948322626915.664,16874302227809.264,-27982668.191557936,82223473.76852848,92817354.2869147,176522106706.06503,970968.6784287571
2024-05-14 03:00:00,-5137650241255.711,15096324879699.016,17041373465525.71,-27982668.191557936,82223473.76852848,92817354.2869147,178269850327.2368,970968.6784287571
2024-05-14 03:30:00,-5188019044000.516,15244327132482.367,17208444703242.158,-27982668.191557936,82223473.76852848,92817354.2869147,180017593948.40854,970968.6784287571
2024-05-14 04:00:00,-5238387846745.32,15392329385265.719,17375515940958.605,-27982668.191557936,82223473.76852848,92817354.2869147,181765337569.5803,970968.6784287571
2024-05-14 04:30:00,-5288756649490.125,15540331638049.07,17542587178675.053,-27982668.191557936,82223473.76852848,92817354.2869147,183513081190.75204,970968.6784287571
2024-05-14 05:00:00,-5339125452234.93,15688333890832.422,17709658416391.5,-27982668.191557936,82223473.76852848,92817354.2869147,185260824811.9238,970968.6784287571
2024-05-14 05:30:00,-5389494254979.734,15836336143615.773,17876729654107.945,-27982668.191557936,82223473.76852848,92817354.2869147,187008568433.09555,970968.6784287571
2024-05-14 06:00:00,-5439863057724.539,15984338396399.125,18043800891824.39,-27982668.191557936,82223473.76852848,92817354.2869147,188756312054.2673,970968.6784287571
2024-05-14 06:30:00,-5490231860469.344,16132340649182.477,18210872129540.836,-27982668.191557936,82223473.76852848,92817354.2869147,190504055675.43906,970968.6784287571
2024-05-14 07:00:00,-5540600663214.148,16280342901965.828,18377943367257.28,-27982668.191557936,82223473.76852848,92817354.2869147,192251799296.6108,970968.6784287571
2024-05-14 07:30:00,-5590969465958.953,16428345154749.18,18545014604973.727,-27982668.191557936,82223473.76852848,92817354.2869147,193999542917.78256,970968.6784287571
2024-05-14 08:00:00,-5641338268703.758,16576347407532.531,18712085842690.17,-27982668.191557936,82223473.76852848,92817354.2869147,195747286538.9543,970968.6784287571
2024-05-14 08:30:00,-5691707071448.5625,16724349660315.883,18879157080406.617,-27982668.191557936,82223473.76852848,92817354.2869147,197495030160.12607,970968.6784287571
2024-05-14 09:00:00,-5742075874193.367,16872351913099.234,19046228318123.062,-27982668.191557936,82223473.76852848,92817354.2869147,199242773781.29782,970968.6784287571
2024-05-14 09:30:00,-5792444676938.172,17020354165882.586,19213299555839.508,-27982668.191557936,82223473.76852848,92817354.2869147,200990517402.46957,970968.6784287571
2024-05-14 10:00:00,-5842813479682.977,17168356418665.938,19380370793555.953,-27982668.191557936,82223473.76852848,92817354.2869147,202738261023.64133,970968.6784287571
2024-05-14 10:30:00,-5893182282427.781,17316358671449.29,19547442031272.4,-27982668.191557936,82223473.76852848,92817354.2869147,204486004644.81308,970968.6784287571
2024-05-14 11:00:00,-5943551085172.586,17464360924232.64,19714513268988.844,-27982668.191557936,82223473.76852848,92817354.2869147,206233748265.98483,970968.6784287571
2024-05-14 11:30:00,-5993919887917.391,17612363177015.992,19881584506705.29,-27982668.191557936,82223473.76852848,92817354.2869147,207981491887.1566,970968.6784287571
2024-05-14 12:00:00,-6044288690662.195,17760365429799.344,20048655744421.734,-27982668.191557936,82223473.76852848,92817354.2869147,209729235508.32834,970968.6784287571
2024-05-14 12:30:00,-6094657493407.0,17908367682582.695,20215726982138.18,-27982668.191557936,82223473.76852848,92817354.2869147,211476979129.5001,970968.6784287571
2024-05-14 13:00:00,-6145026296151.805,18056369935366.047,20382798219854.625,-27982668.191557936,82223473.76852848,92817354.2869147,213224722750.67184,970968.6784287571
